InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,OriginalDescription,MissingCustomerID,MissingDescription,IsCancelled,IsReturn,IsFreeItem,TotalPrice,Year,Month,MonthYear,YearQuarter,Hour,Minute,Time,TimeOfDay
536414,22139,RETROSPOT TEA SET CERAMIC 11 PC ,56,2010-12-01 11:52:00,0.0,,United Kingdom,,True,False,False,False,True,0.0,2010,12,2010-12,2010Q4,11,52,11:52:00,Morning
536545,21134,,1,2010-12-01 14:32:00,0.0,,United Kingdom,,True,True,False,False,True,0.0,2010,12,2010-12,2010Q4,14,32,14:32:00,Afternoon
536546,22145,,1,2010-12-01 14:33:00,0.0,,United Kingdom,,True,True,False,False,True,0.0,2010,12,2010-12,2010Q4,14,33,14:33:00,Afternoon
536547,37509,NEW ENGLAND MUG W GIFT BOX,1,2010-12-01 14:33:00,0.0,,United Kingdom,,True,False,False,False,True,0.0,2010,12,2010-12,2010Q4,14,33,14:33:00,Afternoon
536549,85226A,,1,2010-12-01 14:34:00,0.0,,United Kingdom,,True,True,False,False,True,0.0,2010,12,2010-12,2010Q4,14,34,14:34:00,Afternoon
536550,85044,,1,2010-12-01 14:34:00,0.0,,United Kingdom,,True,True,False,False,True,0.0,2010,12,2010-12,2010Q4,14,34,14:34:00,Afternoon
536552,20950,,1,2010-12-01 14:34:00,0.0,,United Kingdom,,True,True,False,False,True,0.0,2010,12,2010-12,2010Q4,14,34,14:34:00,Afternoon
536553,37461,,3,2010-12-01 14:35:00,0.0,,United Kingdom,,True,True,False,False,True,0.0,2010,12,2010-12,2010Q4,14,35,14:35:00,Afternoon
536554,84670,,23,2010-12-01 14:35:00,0.0,,United Kingdom,,True,True,False,False,True,0.0,2010,12,2010-12,2010Q4,14,35,14:35:00,Afternoon
536589,21777,RECIPE BOX WITH METAL HEART,-10,2010-12-01 16:50:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,16,50,16:50:00,Afternoon
536764,84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,-38,2010-12-02 14:42:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,14,42,14:42:00,Afternoon
536765,84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,19,2010-12-02 14:43:00,0.0,,United Kingdom,,True,False,False,False,True,0.0,2010,12,2010-12,2010Q4,14,43,14:43:00,Afternoon
536941,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,20,2010-12-03 12:08:00,0.0,,United Kingdom,amazon,True,False,False,False,True,0.0,2010,12,2010-12,2010Q4,12,8,12:08:00,Morning
536942,22139,RETROSPOT TEA SET CERAMIC 11 PC ,15,2010-12-03 12:08:00,0.0,,United Kingdom,amazon,True,False,False,False,True,0.0,2010,12,2010-12,2010Q4,12,8,12:08:00,Morning
